Mensajes Agente,Mensajes Cliente,Instruction
"Buen día, soy Laura de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, me interesa conocer mis opciones.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Veo que tu crédito es de $1.200.000 y tienes 15 días de mora. Podemos dividirlo en 3 cuotas mensuales de $400.000 cada una. ¿Te parece conveniente este monto por cuota?,"Sí, me parece adecuado.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, entonces te comprometes a pagar 3 cuotas mensuales de $400.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 05/06/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
¡Excelente! Estamos aquí para apoyarte en lo que necesites.,"Gracias, quedo conforme.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, habla Andrés de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?","Sí, por favor, muéstrame las alternativas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $800.000 y 20 días de mora. Podemos dividirlo en 2 cuotas mensuales de $400.000 cada una. ¿Te parece conveniente este arreglo?,"Sí, me resulta viable.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Muy bien, entonces te comprometes a pagar 2 cuotas mensuales de $400.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 06/06/2024.,"Confirmo, gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, ¡muchas gracias por confiar en nosotros!",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Carolina de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu situación?","Sí, pero tengo algunas dudas sobre el monto por cuota.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Tienes un crédito de $2.200.000 y 30 días de mora. Inicialmente, podría dividirse en 3 cuotas mensuales de $733.333, pero quisiera saber tu opinión: ¿crees que ese monto te sería cómodo?",Ese monto me parece un poco elevado para mi presupuesto.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entiendo, ¿te parecería mejor aumentar a 4 cuotas mensuales, de modo que cada cuota sea de $550.000?","Sí, esa opción me resulta más accesible.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $550.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 07/06/2024.,"Confirmo, muchas gracias por la consulta.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, estamos aquí para brindarte la mejor solución.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Muy buenos días, habla Luisa de Sistecredito. ¿Deseas realizar un compromiso de pago para saldar tu crédito?","Sí, por favor, muéstrame las opciones disponibles.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $950.000 y 25 días de mora. Podemos dividirlo en 2 cuotas quincenales de $475.000 cada una. ¿Te parece adecuado el monto por cuota?,"Sí, me parece claro y manejable.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 2 cuotas quincenales de $475.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 08/06/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
¡Excelente! Estamos aquí para apoyarte en este proceso.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Roberto de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero mi economía está muy ajustada y me preocupa el monto por cuota.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entiendo tu inquietud. Tienes un crédito de $1.800.000 y 40 días de mora. Podemos dividirlo en 3 cuotas mensuales de $600.000 cada una o, para reducir el valor por cuota, en 6 cuotas mensuales de $300.000 cada una. ¿Qué opción te parece mejor para adaptarse a tu presupuesto?","Prefiero la opción con más cuotas para que cada pago sea menor, así 6 cuotas mensuales.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas mensuales de $300.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 09/06/2024.,"Confirmo, muchas gracias por la solución.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
¡Perfecto! Estamos aquí para ayudarte en cada paso.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Marta de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero este mes ando muy corto de plata.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Comprendo tu situación. Tienes un crédito de $2.750.000 y 50 días de mora. Podemos dividirlo en 3 cuotas quincenales de $916.667 cada una. ¿Consideras que ese monto te resulta cómodo?,"La verdad, me parece algo alto.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"En ese caso, ¿te parecería mejor aumentar a 4 cuotas quincenales, de modo que cada cuota sea de $687.500?","Sí, esa opción me resulta más amigable.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
